Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
1,Zach Cunningham,HOU,26,LILB,16,16,0,43,37,86.00%,452,12.2,10.5,2,126,4.4,112,340,35,3,1,3,7,164,17,9.40%,CunnZa00
2,Roquan Smith,CHI,23,LILB,16,16,2,79,50,63.30%,290,5.8,3.7,0,59.6,2.3,66,224,33,4,3,4,11,139,10,6.70%,SmitRo07
3,Devin White,TAM,22,LILB,15,15,0,84,70,83.30%,626,8.9,7.5,3,109.6,4.6,311,315,91,3,8,9,20,140,15,9.70%,WhitDe02
4,Neville Hewitt,NYJ,27,RILB,16,16,0,78,55,70.50%,530,9.6,6.8,1,93.4,5.5,261,269,82,1,2,2,6,134,16,10.70%,HewiNe00
5,Jordan Poyer,BUF,29,SS,16,16,2,48,35,72.90%,273,7.8,5.7,3,90,5.6,169,104,55,1,2,2,5,124,11,8.10%,PoyeJo00
6,Budda Baker*+,ARI,24,SS,15,15,2,42,30,71.40%,339,11.3,8.1,5,115,7.8,190,149,70,5,1,2,8,118,13,9.90%,BakeBu00
7,Jaylon Smith,DAL,25,RLB,16,16,1,59,42,71.20%,424,10.1,7.2,3,101.2,3.8,139,285,45,1,3,1.5,6,154,9,5.50%,SmitJa05
8,Malcolm Butler,TEN,30,RCB,16,16,4,127,80,63.00%,873,10.9,6.9,5,83.2,9.9,647,226,3,0,0,0,0,100,10,9.10%,ButlMa01
9,Shaquille Leonard*+,IND,25,LLB,14,14,0,70,57,81.40%,474,8.3,6.8,3,109.2,4,165,309,45,3,0,3,8,132,7,5.00%,LeonDa00
10,Blake Martinez,NYG,26,LILB,16,16,1,75,59,78.70%,542,9.2,7.2,0,91.2,4.2,284,258,43,1,3,3,7,151,10,6.20%,MartBl01
11,Joe Schobert,JAX,27,MLB,16,16,3,66,49,74.20%,550,11.2,8.3,6,110,5.7,201,349,59,2,3,2.5,9,141,14,9.00%,SchoJo00
12,Lavonte David,TAM,30,RILB,16,16,1,92,69,75.00%,417,6,4.5,4,93.4,3.1,172,245,65,0,1,1.5,3,117,10,7.90%,DaviLa00
13,Bobby Wagner*+,SEA,30,RILB,16,16,0,81,52,64.20%,488,9.4,6,2,88.9,6.8,234,254,100,1,8,3,12,138,10,6.80%,WagnBo00
14,Kevin Byard,TEN,27,FS,16,16,1,45,33,73.30%,314,9.5,7,4,112.6,8.6,186,128,29,1,1,0,2,111,8,6.70%,ByarKe01
15,Fred Warner*+,SFO,24,MLB,16,16,2,61,38,62.30%,270,7.1,4.4,2,69.7,4.2,80,190,76,9,6,1,16,125,7,5.30%,WarnFr00
16,Jessie Bates III,CIN,23,FS,16,16,3,46,25,54.30%,317,12.7,6.9,3,70.7,10.3,217,100,6,0,1,0,1,109,16,12.80%,BateJe00
17,Jordan Hicks,ARI,28,RILB,16,16,1,62,44,71.00%,460,10.5,7.4,0,85.4,5.3,211,249,89,4,1,0,5,118,11,8.50%,HickJo00
